Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
1,1,1,8,25,4,1,3,1,0,12,7,156000.0,5
2,0,1,9,25,4,1,5,0,2,4,3,135000.0,1
1,1,1,9,25,2,1,1,0,2,5,3,80000.0,2
1,1,1,9,0,4,1,3,1,2,10,9,78003.0,1
2,2,1,5,9,7,1,3,2,0,15,10,107090.0,5
2,1,1,8,21,4,1,5,1,0,4,2,45149.0,2
1,2,1,8,8,6,1,4,1,0,11,6,58899.0,5
2,0,1,9,9,4,1,2,2,0,24,14,75010.0,10
1,1,1,8,24,1,1,2,1,2,6,6,60828.0,0
1,3,0,2,9,4,1,4,0,2,20,5,85672.0,15
2,2,1,5,20,4,1,0,1,0,0,10,37481.0,-10
2,1,1,9,24,7,1,2,3,0,3,2,38483.0,1
2,0,1,5,20,4,1,7,2,2,15,15,74963.0,0
1,1,1,9,3,4,1,4,1,2,5,5,26374.0,0
1,2,1,8,17,4,1,5,1,2,10,5,74963.0,5
2,1,0,5,12,6,1,3,2,0,16,13,42836.0,3
4,0,1,9,25,7,1,3,6,0,33,15,130000.0,18
1,2,1,9,9,4,1,4,0,2,13,2,53982.0,11
1,1,1,5,24,4,1,7,1,0,6,6,136552.0,0
3,1,1,8,25,4,1,5,1,2,21,16,165000.0,5
1,1,1,5,4,4,1,4,1,2,13,9,101490.0,4
4,2,1,5,22,1,1,5,5,0,32,28,149894.0,4
2,2,1,6,9,4,1,5,1,1,20,9,82459.0,11
0,1,1,9,13,5,1,3,0,1,10,2,38552.0,8
1,1,1,1,10,4,1,3,1,0,10,6,41197.0,4
2,1,1,9,3,3,1,5,3,1,20,14,24345.0,6
1,1,1,0,0,4,2,3,1,2,15,9,72714.0,6
1,1,1,9,9,6,1,7,1,0,12,6,86528.0,6
1,0,1,7,1,4,1,0,1,0,19,10,66396.0,9
1,0,1,9,3,4,1,3,1,2,11,9,18665.0,2
1,1,1,9,25,4,1,3,1,1,12,7,145000.0,5
1,2,1,9,9,4,1,2,1,0,12,6,85672.0,6
2,2,1,9,8,6,1,3,1,2,12,9,85672.0,3
1,1,1,6,10,4,1,7,1,2,7,6,18175.0,1
2,2,1,9,15,4,0,0,1,0,34,23,90613.0,11
2,1,1,6,25,4,1,4,4,2,14,12,118000.0,2
0,0,1,6,19,4,1,3,1,0,5,4,23019.0,1
1,1,1,5,16,4,0,2,1,2,8,6,47852.0,2
1,1,1,9,22,7,1,0,0,0,8,4,121238.0,4
1,0,1,5,16,4,0,6,1,2,22,12,128507.0,10
2,2,1,5,25,4,1,7,1,2,20,20,200000.0,0
1,1,1,4,16,4,1,5,2,0,13,11,47852.0,2
1,2,1,8,1,4,1,0,0,0,11,5,59970.0,6
0,1,1,2,4,4,1,1,1,0,7,5,52046.0,2
1,2,1,9,2,7,1,7,0,0,9,4,41765.0,5
1,1,1,9,1,7,1,7,1,0,9,5,62969.0,4
1,0,0,0,9,4,1,4,1,0,10,3,48190.0,7
2,2,1,10,10,4,1,2,1,2,10,8,24234.0,2
0,1,1,9,20,4,1,7,0,0,5,3,26772.0,2
2,2,1,6,12,7,1,5,3,0,23,18,65325.0,5
3,2,1,3,21,4,1,6,4,0,35,24,51415.0,11
2,1,1,9,25,4,1,7,4,2,30,25,170000.0,5
3,1,1,4,6,3,1,7,5,0,40,30,138033.0,10
2,1,1,9,25,4,1,7,3,2,23,19,110000.0,4
3,1,1,6,25,4,1,4,1,0,35,27,155000.0,8
1,2,1,9,2,6,1,2,2,0,15,10,53545.0,5
2,2,1,10,13,4,0,4,1,0,15,10,128507.0,5
0,1,1,9,10,2,1,5,0,2,10,4,36351.0,6
1,2,1,9,8,6,1,2,1,1,15,8,55687.0,7
2,2,1,7,9,4,1,5,1,0,32,23,96381.0,9
2,0,1,9,9,4,1,0,1,0,24,20,58899.0,4
1,1,1,5,9,4,1,7,1,0,8,4,74963.0,4
1,1,1,1,13,4,1,0,1,0,7,6,74963.0,1
1,1,1,5,24,4,1,7,0,0,10,2,71379.0,8
4,2,1,9,25,4,1,2,1,2,45,43,170000.0,2
1,1,1,9,25,4,1,1,1,2,11,7,120000.0,4
2,0,1,9,9,4,1,2,1,1,26,21,85672.0,5
1,2,1,4,25,4,1,3,1,0,13,10,130000.0,3
1,1,1,9,10,3,0,2,1,0,7,6,10000.0,1
1,1,1,10,3,4,1,5,0,2,10,5,30431.0,5
2,0,1,9,21,4,1,2,3,1,30,14,55285.0,16
0,1,1,9,9,4,2,3,1,2,7,6,16063.0,1
1,2,1,9,24,4,1,7,1,0,8,7,125380.0,1
3,0,1,7,21,4,1,5,5,1,40,26,46992.0,14
4,0,1,10,9,6,1,2,6,0,43,38,74963.0,5
0,2,1,9,9,7,1,3,0,0,10,4,61041.0,6
2,0,1,8,11,4,1,7,3,0,25,18,138985.0,7
1,2,1,5,23,3,1,2,2,2,13,7,33000.0,6
1,2,1,9,9,4,1,2,0,2,7,3,55687.0,4
1,1,1,8,20,4,1,4,1,0,4,2,37481.0,2
4,1,1,6,25,4,1,2,1,0,40,33,120000.0,7
2,1,1,9,9,4,1,2,1,0,22,10,77104.0,12
2,1,1,9,21,4,1,4,1,2,12,8,130841.0,4
3,1,1,9,9,3,1,3,4,2,27,25,91026.0,2
1,2,1,5,7,2,1,3,0,0,10,5,69608.0,5
1,1,1,9,9,4,1,1,1,0,18,14,74963.0,4
2,1,1,9,9,5,1,4,1,0,10,7,80317.0,3
2,0,1,8,22,4,1,2,1,1,7,7,88173.0,0
1,2,1,9,9,4,1,5,1,0,6,6,58899.0,0
0,0,1,9,12,4,1,0,0,0,8,2,19276.0,6
2,1,1,5,9,4,1,1,1,0,13,8,64254.0,5
